"Date";"Field";"Treatment";"Abundance"
2025-06-26;"1";"BE";8
2025-06-26;"1";"FO";1
2025-06-26;"2";"BE";1
2025-06-26;"2";"FO";0
2025-06-26;"3";"BE";9
2025-06-26;"3";"FO";0
2025-06-26;"4";"BE";4
2025-06-26;"4";"FO";0
2025-06-26;"5";"BE";0
2025-06-26;"5";"FO";0
2025-07-23;"1";"BE";18
2025-07-23;"1";"FO";16
2025-07-23;"2";"BE";8
2025-07-23;"2";"FO";10
2025-07-23;"3";"BE";31
2025-07-23;"3";"FO";30
2025-07-23;"4";"BE";31
2025-07-23;"4";"FO";24
2025-07-23;"5";"BE";68
2025-07-23;"5";"FO";55
2025-08-11;"1";"BE";1
2025-08-11;"1";"FO";2
2025-08-11;"2";"BE";0
2025-08-11;"2";"FO";6
2025-08-11;"3";"BE";2
2025-08-11;"3";"FO";5
2025-08-11;"4";"BE";7
2025-08-11;"4";"FO";8
2025-08-11;"5";"BE";24
2025-08-11;"5";"FO";19
