Field;Genus;Species;Presence;Indep_Observations;Nights_Elapsed;Abundance_Index
1;Ardea;cinerea;-;0;50;0
1;Ardea;sp;X;1;50;2
1;Bubulcus;ibis;X;2;50;4
1;Burhinus;oedicnemus;-;0;50;0
1;Chroicocephalus;genei;-;0;50;0
1;Chroicocephalus;ridibundus;X;21;50;42
1;Circus;aeruginosus;X;1;50;2
1;Egretta;garzetta;-;0;50;0
1;Gallinula;chloropus;-;0;50;0
1;Himantopus;himantopus;-;0;50;0
1;Larus;melanocephalus;X;3;50;6
1;Larus;michahellis;-;0;50;0
1;Nycticorax;nycticorax;X;1;50;2
1;Pica;pica;-;0;50;0
1;Plegadis;falcinellus;X;76;50;152
1;Sturnus;unicolor;X;12;50;24
1;Unknown;animal;X;1;50;2
2;Ardea;cinerea;-;0;50;0
2;Ardea;sp;-;0;50;0
2;Bubulcus;ibis;-;0;50;0
2;Burhinus;oedicnemus;-;0;50;0
2;Chroicocephalus;genei;-;0;50;0
2;Chroicocephalus;ridibundus;X;63;50;126
2;Circus;aeruginosus;-;0;50;0
2;Egretta;garzetta;-;0;50;0
2;Gallinula;chloropus;X;2;50;4
2;Himantopus;himantopus;-;0;50;0
2;Larus;melanocephalus;X;3;50;6
2;Larus;michahellis;X;1;50;2
2;Nycticorax;nycticorax;-;0;50;0
2;Pica;pica;-;0;50;0
2;Plegadis;falcinellus;X;53;50;106
2;Sturnus;unicolor;-;0;50;0
2;Unknown;animal;X;8;50;16
3;Ardea;cinerea;X;1;50;2
3;Ardea;sp;-;0;50;0
3;Bubulcus;ibis;X;1;50;2
3;Burhinus;oedicnemus;-;0;50;0
3;Chroicocephalus;genei;X;1;50;2
3;Chroicocephalus;ridibundus;X;33;50;66
3;Circus;aeruginosus;-;0;50;0
3;Egretta;garzetta;X;1;50;2
3;Gallinula;chloropus;X;23;50;46
3;Himantopus;himantopus;-;0;50;0
3;Larus;melanocephalus;-;0;50;0
3;Larus;michahellis;X;5;50;10
3;Nycticorax;nycticorax;X;2;50;4
3;Pica;pica;-;0;50;0
3;Plegadis;falcinellus;X;7;50;14
3;Sturnus;unicolor;-;0;50;0
3;Unknown;animal;X;10;50;20
4;Ardea;cinerea;-;0;50;0
4;Ardea;sp;-;0;50;0
4;Bubulcus;ibis;-;0;50;0
4;Burhinus;oedicnemus;X;1;50;2
4;Chroicocephalus;genei;-;0;50;0
4;Chroicocephalus;ridibundus;X;23;50;46
4;Circus;aeruginosus;-;0;50;0
4;Egretta;garzetta;-;0;50;0
4;Gallinula;chloropus;X;33;50;66
4;Himantopus;himantopus;X;24;50;48
4;Larus;melanocephalus;X;4;50;8
4;Larus;michahellis;X;3;50;6
4;Nycticorax;nycticorax;-;0;50;0
4;Pica;pica;X;16;50;32
4;Plegadis;falcinellus;X;46;50;92
4;Sturnus;unicolor;-;0;50;0
4;Unknown;animal;X;5;50;10
5;Ardea;cinerea;X;2;50;4
5;Ardea;sp;-;0;50;0
5;Bubulcus;ibis;X;3;50;6
5;Burhinus;oedicnemus;-;0;50;0
5;Chroicocephalus;genei;-;0;50;0
5;Chroicocephalus;ridibundus;X;2;50;4
5;Circus;aeruginosus;-;0;50;0
5;Egretta;garzetta;-;0;50;0
5;Gallinula;chloropus;X;4;50;8
5;Himantopus;himantopus;-;0;50;0
5;Larus;melanocephalus;-;0;50;0
5;Larus;michahellis;X;10;50;20
5;Nycticorax;nycticorax;X;3;50;6
5;Pica;pica;X;1;50;2
5;Plegadis;falcinellus;X;35;50;70
5;Sturnus;unicolor;-;0;50;0
5;Unknown;animal;X;2;50;4
TOTAL;Ardea;cinerea;X;3;250;1,2
TOTAL;Ardea;sp;X;1;250;0,4
TOTAL;Bubulcus;ibis;X;6;250;2,4
TOTAL;Burhinus;oedicnemus;X;1;250;0,4
TOTAL;Chroicocephalus;genei;X;1;250;0,4
TOTAL;Chroicocephalus;ridibundus;X;142;250;56,8
TOTAL;Circus;aeruginosus;X;1;250;0,4
TOTAL;Egretta;garzetta;X;1;250;0,4
TOTAL;Gallinula;chloropus;X;62;250;24,8
TOTAL;Himantopus;himantopus;X;24;250;9,6
TOTAL;Larus;melanocephalus;X;10;250;4
TOTAL;Larus;michahellis;X;19;250;7,6
TOTAL;Nycticorax;nycticorax;X;6;250;2,4
TOTAL;Pica;pica;X;17;250;6,8
TOTAL;Plegadis;falcinellus;X;217;250;86,8
TOTAL;Sturnus;unicolor;X;12;250;4,8
TOTAL;Unknown;animal;X;26;250;10,4
