Date;Field;Treatment;Repeat;Leaves_dmg_10leaves;Marks_5leaves;Observations
2025-05-28;1;FE;1;8;17;
2025-05-28;1;FE;2;7;26;
2025-05-28;1;FE;3;10;20;
2025-05-28;1;FE;4;9;15;
2025-05-28;1;FE;5;3;9;
2025-05-28;1;FE;6;7;13;
2025-05-28;1;BE;1;4;6;
2025-05-28;1;BE;2;6;14;
2025-05-28;1;BE;3;7;23;
2025-05-28;1;BE;4;5;20;
2025-05-28;1;BE;5;8;13;
2025-05-28;1;BE;6;6;9;
2025-05-28;1;FC;1;7;16;
2025-05-28;1;FC;2;5;9;
2025-05-28;1;FC;3;3;5;
2025-05-28;1;FC;4;9;19;
2025-05-28;1;FC;5;7;25;
2025-05-28;1;FC;6;6;8;
2025-05-28;1;FO;1;8;22;
2025-05-28;1;FO;2;6;13;
2025-05-28;1;FO;3;5;14;
2025-05-28;1;FO;4;8;21;
2025-05-28;1;FO;5;2;14;
2025-05-28;1;FO;6;5;7;
2025-05-28;2;FE;1;2;0;
2025-05-28;2;FE;2;5;8;
2025-05-28;2;FE;3;0;0;
2025-05-28;2;FE;4;5;7;
2025-05-28;2;FE;5;4;5;
2025-05-28;2;FE;6;6;13;
2025-05-28;2;FC;1;4;6;
2025-05-28;2;FC;2;3;0;
2025-05-28;2;FC;3;5;5;
2025-05-28;2;FC;4;2;7;
2025-05-28;2;FC;5;7;13;
2025-05-28;2;FC;6;3;5;
2025-05-28;2;BE;1;4;8;
2025-05-28;2;BE;2;4;7;
2025-05-28;2;BE;3;4;7;
2025-05-28;2;BE;4;6;9;
2025-05-28;2;BE;5;5;3;
2025-05-28;2;BE;6;3;12;
2025-05-28;2;FO;1;3;7;
2025-05-28;2;FO;2;4;0;
2025-05-28;2;FO;3;2;3;
2025-05-28;2;FO;4;3;4;
2025-05-28;2;FO;5;5;5;
2025-05-28;2;FO;6;1;7;
2025-05-28;3;FC;1;4;6;
2025-05-28;3;FC;2;4;11;
2025-05-28;3;FC;3;6;14;
2025-05-28;3;FC;4;6;23;
2025-05-28;3;FC;5;6;14;
2025-05-28;3;FC;6;1;4;
2025-05-28;3;BE;1;3;3;
2025-05-28;3;BE;2;2;6;
2025-05-28;3;BE;3;5;4;
2025-05-28;3;BE;4;6;15;
2025-05-28;3;BE;5;6;8;
2025-05-28;3;BE;6;5;13;
2025-05-28;3;FE;1;6;10;
2025-05-28;3;FE;2;3;23;
2025-05-28;3;FE;3;3;2;
2025-05-28;3;FE;4;2;2;
2025-05-28;3;FE;5;2;2;
2025-05-28;3;FE;6;1;6;
2025-05-28;3;FO;1;0;0;
2025-05-28;3;FO;2;2;0;
2025-05-28;3;FO;3;2;3;
2025-05-28;3;FO;4;3;7;
2025-05-28;3;FO;5;3;17;
2025-05-28;3;FO;6;6;13;
2025-05-28;4;FO;1;0;0;
2025-05-28;4;FO;2;4;2;
2025-05-28;4;FO;3;2;4;
2025-05-28;4;FO;4;5;1;
2025-05-28;4;FO;5;2;4;
2025-05-28;4;FO;6;0;0;
2025-05-28;4;FC;1;0;0;
2025-05-28;4;FC;2;5;6;
2025-05-28;4;FC;3;1;3;
2025-05-28;4;FC;4;1;1;
2025-05-28;4;FC;5;3;12;
2025-05-28;4;FC;6;1;2;
2025-05-28;4;BE;1;4;15;
2025-05-28;4;BE;2;4;4;
2025-05-28;4;BE;3;0;0;
2025-05-28;4;BE;4;5;3;
2025-05-28;4;BE;5;4;8;
2025-05-28;4;BE;6;4;5;
2025-05-28;4;FE;1;4;5;
2025-05-28;4;FE;2;3;5;
2025-05-28;4;FE;3;8;7;
2025-05-28;4;FE;4;5;7;
2025-05-28;4;FE;5;5;5;
2025-05-28;4;FE;6;1;0;
2025-05-28;5;BE;1;2;3;
2025-05-28;5;BE;2;0;0;
2025-05-28;5;BE;3;1;1;
2025-05-28;5;BE;4;1;3;
2025-05-28;5;BE;5;1;1;
2025-05-28;5;BE;6;0;0;
2025-05-28;5;FC;1;0;0;
2025-05-28;5;FC;2;1;1;
2025-05-28;5;FC;3;0;0;
2025-05-28;5;FC;4;0;0;
2025-05-28;5;FC;5;1;0;
2025-05-28;5;FC;6;0;0;
2025-05-28;5;FE;1;0;0;
2025-05-28;5;FE;2;0;0;
2025-05-28;5;FE;3;1;3;
2025-05-28;5;FE;4;1;2;
2025-05-28;5;FE;5;0;0;
2025-05-28;5;FE;6;0;0;
2025-05-28;5;FO;1;1;4;
2025-05-28;5;FO;2;2;5;
2025-05-28;5;FO;3;0;0;
2025-05-28;5;FO;4;1;1;
2025-05-28;5;FO;5;2;4;
2025-05-28;5;FO;6;1;3;
