Date;Field;Treatment;Ganguil;Taxa;Stage;Abundance;Observations
2025-06-10;1;FO;A;;;;
2025-06-10;1;FO;B;Dytiscidae sp1;AD;6;
2025-06-10;1;FO;B;Sympetrum fonscolombii;LAR;5;
2025-06-10;1;FC;A;Procambarus clarkii;ALEV;1;
2025-06-10;1;FC;A;Hydaticus sp;AD;8;
2025-06-10;1;FC;B;Dytiscidae sp1;AD;7;
2025-06-10;1;BE;A;Procambarus clarkii;ALEV;2;
2025-06-10;1;BE;B;Procambarus clarkii;AD;1;
2025-06-10;1;FE;A;;;;
2025-06-10;1;FE;B;Procambarus clarkii;ALEV;1;
2025-06-10;1;FE;B;Dytiscidae sp1;AD;6;
2025-06-10;2;FE;A;Procambarus clarkii;ALEV;2;
2025-06-10;2;FE;A;Pelophylax perezi;AD;1;
2025-06-10;2;FE;A;Dytiscidae sp1;AD;1;
2025-06-10;2;FE;B;;;;
2025-06-10;2;FC;A;Procambarus clarkii;ALEV;1;
2025-06-10;2;FC;A;Pelophylax perezi;RENAC;1;
2025-06-10;2;FC;B;Procambarus clarkii;ALEV;3;
2025-06-10;2;BE;A;Dytiscidae sp1;AD;2;
2025-06-10;2;BE;A;Procambarus clarkii;ALEV;1;
2025-06-10;2;BE;B;Dytiscidae sp1;AD;1;
2025-06-10;2;FO;A;Dytiscidae sp1;AD;1;
2025-06-10;2;FO;B;;;;
2025-06-10;3;FC;A;Procambarus clarkii;ALEV;8;
2025-06-10;3;FC;A;Carassius sp;AD;6;
2025-06-10;3;FC;A;Dytiscidae sp1;AD;4;
2025-06-10;3;FC;B;Carassius sp;AD;1;
2025-06-10;3;FC;B;Procambarus clarkii;ALEV;3;
2025-06-10;3;FC;B;Procambarus clarkii;JUV;1;
2025-06-10;3;FC;B;Dytiscidae sp1;AD;6;
2025-06-10;3;BE;A;Carassius sp;AD;3;
2025-06-10;3;BE;A;Dytiscidae sp1;AD;5;
2025-06-10;3;BE;A;Procambarus clarkii;ALEV;2;
2025-06-10;3;BE;A;Procambarus clarkii;JUV;1;
2025-06-10;3;BE;B;Procambarus clarkii;JUV;1;
2025-06-10;3;BE;B;Dytiscidae sp1;AD;5;
2025-06-10;3;FE;A;Carassius sp;AD;2;
2025-06-10;3;FE;A;Procambarus clarkii;ALEV;2;
2025-06-10;3;FE;B;Carassius sp;AD;2;
2025-06-10;3;FE;B;Procambarus clarkii;AD;1;
2025-06-10;3;FE;B;Procambarus clarkii;ALEV;2;
2025-06-10;3;FO;A;Procambarus clarkii;AD;1;
2025-06-10;3;FO;A;Procambarus clarkii;ALEV;3;
2025-06-10;3;FO;B;Procambarus clarkii;AD;2;
2025-06-10;3;FO;B;Dytiscidae sp1;AD;9;
2025-06-10;3;FO;B;Procambarus clarkii;ALEV;1;
2025-06-10;4;FO;A;;;;
2025-06-10;4;FO;B;Pelophylax perezi;AD;1;
2025-06-10;4;FO;B;Procambarus clarkii;AD;1;
2025-06-10;4;FO;B;Procambarus clarkii;JUV;3;
2025-06-10;4;FO;B;Procambarus clarkii;ALEV;2;
2025-06-10;4;FO;B;Dytiscidae sp1;AD;2;
2025-06-10;4;FC;A;Procambarus clarkii;JUV;1;
2025-06-10;4;FC;B;Pelophylax perezi;AD;1;
2025-06-10;4;BE;A;Procambarus clarkii;AD;1;
2025-06-10;4;BE;A;Procambarus clarkii;ALEV;10;
2025-06-10;4;BE;A;Dytiscidae sp1;AD;1;
2025-06-10;4;BE;B;Procambarus clarkii;AD;1;
2025-06-10;4;BE;B;Carassius sp;AD;1;
2025-06-10;4;FE;A;Procambarus clarkii;JUV;2;
2025-06-10;4;FE;A;Procambarus clarkii;ALEV;5;
2025-06-10;4;FE;A;Dytiscidae sp1;AD;1;
2025-06-10;4;FE;A;Carassius sp;AD;3;
2025-06-10;4;FE;B;Procambarus clarkii;ALEV;5;
2025-06-10;4;FE;B;Dytiscidae sp1;AD;3;
2025-06-10;4;FE;B;Carassius sp;AD;1;
2025-06-11;5;FC;A;Procambarus clarkii;AD;2;
2025-06-11;5;FC;A;Procambarus clarkii;ALEV;1;
2025-06-11;5;FC;A;Pelophylax perezi;AD;1;
2025-06-11;5;FC;A;Dytiscidae sp1;AD;2;
2025-06-11;5;FC;B;;;;GANGUIL TUMBADO
2025-06-11;5;BE;A;Dytiscidae sp1;AD;1;
2025-06-11;5;BE;B;Procambarus clarkii;ALEV;10;
2025-06-11;5;FE;A;Procambarus clarkii;AD;1;
2025-06-11;5;FE;A;Procambarus clarkii;JUV;1;
2025-06-11;5;FE;B;;;;
2025-06-11;5;FO;A;Procambarus clarkii;AD;2;
2025-06-11;5;FO;A;Procambarus clarkii;JUV;1;
2025-06-11;5;FO;A;Procambarus clarkii;ALEV;1;
2025-06-11;5;FO;A;Dytiscidae sp1;AD;1;
2025-06-11;5;FO;B;;;;
2025-06-26;1;FO;A;;;;
2025-06-26;1;FO;B;Pelophylax perezi;AD;1;
2025-06-26;1;FO;B;Eretes sp;AD;24;
2025-06-26;1;FO;B;Dytiscidae sp1;AD;8;
2025-06-26;1;FC;A;Eretes sp;AD;1;
2025-06-26;1;FC;B;Eretes sp;AD;4;
2025-06-26;1;FC;B;Dytiscidae sp1;AD;15;
2025-06-26;1;FC;B;Stratiomyidae;LAR;2;GRANDES
2025-06-26;1;BE;A;Procambarus clarkii;AD;1;
2025-06-26;1;BE;A;Stratiomyidae;LAR;1;
2025-06-26;1;BE;A;Eretes sp;AD;6;
2025-06-26;1;BE;A;Dytiscidae sp1;AD;5;
2025-06-26;1;BE;B;Eretes sp;AD;15;
2025-06-26;1;BE;B;Anax parthenope;LAR;1;
2025-06-26;1;BE;B;Dytiscidae sp1;AD;1;
2025-06-26;1;FE;A;Eretes sp;AD;7;
2025-06-26;1;FE;A;Dytiscidae sp1;AD;22;
2025-06-26;1;FE;B;Anax parthenope;LAR;1;
2025-06-26;1;FE;B;Dytiscidae sp1;AD;16;
2025-06-26;1;FE;B;Eretes sp;AD;3;
2025-06-26;2;FE;A;Procambarus clarkii;ALEV;1;EN P2 POCO NIVEL AGUA, CUBRE MEDIA BOCA
2025-06-26;2;FE;A;Pelophylax perezi;RENAC;1;
2025-06-26;2;FE;A;Anax parthenope;LAR;6;
2025-06-26;2;FE;A;Sympetrum fonscolombii;LAR;2;
2025-06-26;2;FE;B;Carassius sp;AD;1;
2025-06-26;2;FE;B;Anax parthenope;LAR;13;
2025-06-26;2;FE;B;Sympetrum fonscolombii;LAR;1;
2025-06-26;2;FE;B;Dytiscidae sp1;AD;1;
2025-06-26;2;FC;A;Procambarus clarkii;ALEV;1;
2025-06-26;2;FC;A;Dytiscidae sp1;AD;1;
2025-06-26;2;FC;A;Anax parthenope;LAR;40;
2025-06-26;2;FC;B;Procambarus clarkii;JUV;1;
2025-06-26;2;FC;B;Anax parthenope;LAR;23;
2025-06-26;2;FC;B;Sympetrum fonscolombii;LAR;1;
2025-06-26;2;FC;B;Mugil sp;AD;1;LISA
2025-06-26;2;BE;A;Anax parthenope;LAR;25;
2025-06-26;2;BE;A;Pelophylax perezi;RENAC;1;
2025-06-26;2;BE;A;Sympetrum fonscolombii;LAR;2;
2025-06-26;2;BE;A;Dytiscidae sp1;AD;1;
2025-06-26;2;BE;B;Pelophylax perezi;AD;3;
2025-06-26;2;BE;B;Procambarus clarkii;ALEV;3;
2025-06-26;2;BE;B;Carassius sp;AD;1;
2025-06-26;2;BE;B;Anax parthenope;LAR;60;
2025-06-26;2;BE;B;Pseudorasbora sp;AD;1;
2025-06-26;2;BE;B;Sympetrum fonscolombii;LAR;4;
2025-06-26;2;FO;A;Anax parthenope;LAR;60;
2025-06-26;2;FO;A;Pelophylax perezi;RENAC;2;
2025-06-26;2;FO;A;Sympetrum fonscolombii;LAR;2;
2025-06-26;2;FO;B;Anax parthenope;LAR;50;
2025-06-26;2;FO;B;Sympetrum fonscolombii;LAR;2;
2025-06-26;2;FO;B;Pelophylax perezi;RENAC;1;
2025-06-26;3;FC;A;Pelophylax perezi;RENAC;4;
2025-06-26;3;FC;A;Carassius sp;AD;1;
2025-06-26;3;FC;A;Sympetrum fonscolombii;LAR;1;
2025-06-26;3;FC;A;Dytiscidae sp1;AD;2;
2025-06-26;3;FC;A;Ischnura sp;LAR;1;
2025-06-26;3;FC;B;Procambarus clarkii;JUV;1;
2025-06-26;3;FC;B;Pelophylax perezi;METAM;1;
2025-06-26;3;FC;B;Sympetrum fonscolombii;LAR;6;
2025-06-26;3;FC;B;Anax parthenope;LAR;9;
2025-06-26;3;BE;A;Carassius sp;AD;1;
2025-06-26;3;BE;A;Cybister sp;LAR;1;
2025-06-26;3;BE;A;Pelophylax perezi;RENAC;4;
2025-06-26;3;BE;A;Dytiscidae sp1;AD;1;
2025-06-26;3;BE;A;Anax parthenope;LAR;1;
