Date;Sampling;Field;Treatment;Pot;Phylum/ Subphylum;Class/ Subclass;Order/ Suborder;Family/ Subfamily;Genus;Species;Stage;Relative_Abundance;Ponderation;Total_Abundance;Observations
2025-06-26;1;1;BE;Pot tot;Arthropoda;Insecta;Diptera;Chironominae;;;;3;1;3;
2025-06-26;1;1;BE;Pot tot;Arthropoda;Insecta;Diptera;Ephydridae;;;;1;1;1;
2025-06-26;1;1;BE;Pot tot;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;elegans;;3;1;3;
2025-06-26;1;1;BE;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydaticus;sp;Larva;2;1;2;
2025-06-26;1;1;BE;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;;1;8;8;
2025-06-26;1;1;BE;Submuestra;Crustacea;Ostracoda sp1;;;;;;3;8;24;Ovalado
2025-06-26;1;1;BE;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;5;8;40;
2025-06-26;1;1;BE;Submuestra;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;elegans;;1;8;8;
2025-06-26;1;1;BE;Submuestra;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;Adulto;1;8;8;
2025-06-26;1;1;BE;Submuestra;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;1;8;8;
2025-06-26;1;1;BE;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;;104;8;832;
2025-06-26;1;1;BE;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;17;8;136;
2025-06-26;1;1;BE;Submuestra;Annelida;Oligochaeta;;;;;;63;8;504;
2025-06-26;1;1;FO;Pot tot;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;9;1;9;
2025-06-26;1;1;FO;Pot tot;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;;Larva;6;1;6;
2025-06-26;1;1;FO;Pot tot;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;Adulto;1;1;1;
2025-06-26;1;1;FO;Pot tot;Arthropoda;Insecta;Diptera;Dolichopodidae;;;;3;1;3;
2025-06-26;1;1;FO;Pot tot;Arthropoda;Insecta;Heteroptera;Corixinae sp1;;;;1;1;1;Mitad rallado mitad vermiculado
2025-06-26;1;1;FO;Pot tot;Arthropoda;Insecta;Diptera;Ephydridae;;;;1;1;1;
2025-06-26;1;1;FO;Submuestra;Arthropoda;Insecta;Diptera;Ephydridae;;;Pupa;1;8;8;
2025-06-26;1;1;FO;Submuestra;Arthropoda;Insecta;Diptera;Orthocladiinae;;;;7;8;56;
2025-06-26;1;1;FO;Submuestra;Arthropoda;Insecta;Diptera;Tanypodinae;;;;1;8;8;
2025-06-26;1;1;FO;Submuestra;Arthropoda;Insecta;Diptera;Chironominae;;;Pupa;5;8;40;
2025-06-26;1;1;FO;Submuestra;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;geminus;Adulto;1;8;8;
2025-06-26;1;1;FO;Submuestra;Arthropoda;Insecta;Diptera;Ephydridae;;;;1;8;8;
2025-06-26;1;1;FO;Submuestra;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;sp;Larva;1;8;8;
2025-06-26;1;1;FO;Submuestra;Crustacea;Ostracoda sp1;;;;;;3;8;24;
