Date;Field;Treatment;Soil_cond;Soil_temp;Water_temp;O2_percent;O2_mgL;Salinity;pH;Observations
2025-06-20;1;FO;1,61;25,4;;;;;;COMIENZO A LAS 8:30. Dry field
2025-06-20;1;FC;1,44;24,2;;;;;;Dry field
2025-06-20;1;BE;1,74;24,7;;;;;;Dry field
2025-06-20;1;FE;1,80;24,6;;;;;;Dry field
2025-06-20;2;FE;1,89;27,2;25,7;34,60;2,84;0,39;7,19;
2025-06-20;2;FC;1,70;26,9;25,8;50,00;4,10;0,39;7,14;
2025-06-20;2;BE;1,57;27,0;26,0;61,40;5,01;0,40;7,04;
2025-06-20;2;FO;1,78;26,9;26,0;62,10;5,05;0,40;7,08;
2025-06-20;3;FC;1,99;25,6;;;;;;Dry field
2025-06-20;3;BE;1,74;25,9;;;;;;Dry field
2025-06-20;3;FE;1,56;25,5;;;;;;Dry field
2025-06-20;3;FO;1,63;26,0;;;;;;Dry field
2025-06-20;4;FO;2,10;25,0;;;;;;Dry field
2025-06-20;4;FC;1,93;25,2;;;;;;Dry field
2025-06-20;4;BE;2,04;25,3;;;;;;Dry field
2025-06-20;4;FE;2,26;25,6;;;;;;Dry field
2025-06-20;5;FC;1,98;26,9;26,6;47,60;3,84;0,57;7,25;
2025-06-20;5;BE;2,09;26,7;26,6;49,10;3,95;0,59;7,19;
2025-06-20;5;FE;2,59;26,8;26,6;57,10;4,61;0,61;7,18;
2025-06-20;5;FO;2,38;26,7;26,7;89,00;7,12;0,61;7,35;
2025-07-03;1;FO;1,70;28,2;25,7;16,50;1,33;1,57;7,45;COMIENZO A LAS 8:45
2025-07-03;1;FC;1,95;28,0;25,8;7,20;0,57;1,77;7,34;
2025-07-03;1;BE;1,80;28,1;25,7;6,20;0,50;1,80;7,44;
2025-07-03;1;FE;2,02;28,2;25,4;7,40;0,60;1,86;7,44;
2025-07-03;2;FE;1,70;28,6;27,0;19,10;1,51;0,52;7,31;9:30H
2025-07-03;2;FC;1,81;28,5;27,2;13,70;1,08;0,52;7,35;
2025-07-03;2;BE;2,17;28,7;27,4;9,20;0,71;0,51;7,19;
2025-07-03;2;FO;1,89;28,9;27,4;19,00;1,48;0,51;7,21;
2025-07-03;3;FC;2,16;28,2;27,5;39,20;3,09;0,81;7,46;10:30H
2025-07-03;3;BE;1,97;27,7;27,0;5,40;0,41;0,91;7,55;
2025-07-03;3;FE;1,89;28,1;27,4;11,50;0,90;1,02;7,38;
