Date;Field;Treatment;Repeat;Area_m2;Weight_g;Humidity;Density;Weight_kg/ha;Weight_reduction_prop;Weight_reduction;Yield_kg/ha_HR14;Observations
2025-09-18;1;FE;1;1;825,90;13,95;42,32;8259;-0,058106;-4,80;8263,80;
2025-09-18;1;FE;2;1;821,50;14,61;43,54;8215;0,714369;58,69;8156,31;
2025-09-18;1;FE;3;1;928,30;16,23;43,79;9283;2,662051;247,12;9035,88;
2025-09-18;1;FE;4;1;864,10;13,75;43,33;8641;-0,289855;-25,05;8666,05;
2025-09-18;1;BE;1;1;761,90;11,92;41,78;7619;-2,361490;-179,92;7798,92;
2025-09-18;1;BE;2;1;856,80;16,33;41,81;8568;2,784750;238,60;8329,40;
2025-09-18;1;BE;3;1;861,90;14,85;43,5;8619;0,998238;86,04;8532,96;
2025-09-18;1;BE;4;1;944,91;16,31;41,99;9449,1;2,760186;260,81;9188,29;
2025-09-18;1;FC;1;1;935,60;16,15;43;9356;2,564103;239,90;9116,10;
2025-09-18;1;FC;2;1;967,90;15,96;42,85;9679;2,332223;225,74;9453,26;
2025-09-18;1;FC;3;1;1004,86;17,39;42,26;10048,6;4,103619;412,36;9636,24;
2025-09-18;1;FC;4;1;968,20;17,47;42,3;9682;4,204532;407,08;9274,92;
2025-09-18;1;FO;1;1;955,30;17,05;44,02;9553;3,676914;351,26;9201,74;
2025-09-18;1;FO;2;1;938,40;15,61;43,68;9384;1,907809;179,03;9204,97;
2025-09-18;1;FO;3;1;949,03;15,64;42,89;9490,3;1,944049;184,50;9305,80;
2025-09-18;1;FO;4;1;828,00;10,76;44,24;8280;-3,630659;-300,62;8580,62;
2025-09-18;2;FE;1;1;1088,25;16,61;41,61;10882,5;3,129872;340,61;10541,89;
2025-09-18;2;FE;2;1;1076,50;17,41;42,52;10765;4,128829;444,47;10320,53;
2025-09-18;2;FE;3;1;956,90;16,75;42,62;9569;3,303303;316,09;9252,91;
2025-09-18;2;FE;4;1;1006,70;11,61;44,76;10067;-2,703926;-272,20;10339,20;
2025-09-18;2;FC;1;1;881,40;16,4;44,28;8814;2,870813;253,03;8560,97;
2025-09-18;2;FC;2;1;926,30;18,18;43,38;9263;5,108775;473,23;8789,77;
2025-09-18;2;FC;3;1;1086,00;19,45;42,27;10860;6,765984;734,79;10125,21;
2025-09-18;2;FC;4;1;903,50;16,64;42,66;9035;3,166987;286,14;8748,86;
2025-09-18;2;BE;1;1;855,30;16,58;43,95;8553;3,092784;264,53;8288,47;
2025-09-18;2;BE;2;1;886,60;15,63;42,33;8866;1,931966;171,29;8694,71;
2025-09-18;2;BE;3;1;973,60;18,08;42,36;9736;4,980469;484,90;9251,10;
2025-09-18;2;BE;4;1;848,90;18,38;44,16;8489;5,366332;455,55;8033,45;
2025-09-18;2;FO;1;1;873,20;14,85;43,04;8732;0,998238;87,17;8644,83;
2025-09-18;2;FO;2;1;992,80;17,23;42,78;9928;3,902380;387,43;9540,57;
2025-09-18;2;FO;3;1;986,50;17,27;42,6;9865;3,952617;389,93;9475,07;
2025-09-18;2;FO;4;1;962,80;16,03;43,81;9628;2,417530;232,76;9395,24;
2025-09-17;3;FC;1;1;841,86;13,63;45,87;8418,6;-0,428389;-36,06;8454,66;
2025-09-17;3;FC;2;1;923,20;20,22;44,01;9232;7,796440;719,77;8512,23;
2025-09-17;3;FC;3;1;896,96;19,13;44,64;8969,6;6,343514;568,99;8400,61;
2025-09-17;3;FC;4;1;980,91;19,49;45,88;9809,1;6,819029;668,89;9140,21;
2025-09-17;3;BE;1;1;822,48;17,42;43,94;8224,8;4,141439;340,63;7884,17;
2025-09-17;3;BE;2;1;943,41;19,43;47,36;9434,1;6,739481;635,81;8798,29;
2025-09-17;3;BE;3;1;909,44;13,86;45,65;9094,4;-0,162526;-14,78;9109,18;
2025-09-17;3;BE;4;1;999,77;19,53;48,64;9997,7;6,872126;687,05;9310,65;
2025-09-17;3;FE;1;1;959,02;19,03;46,06;9590,2;6,212177;595,76;8994,44;
2025-09-17;3;FE;2;1;1038,12;20,45;45,61;10381,2;8,108108;841,72;9539,48;
2025-09-17;3;FE;3;1;974,86;18,83;46,34;9748,6;5,950474;580,09;9168,51;
2025-09-17;3;FE;4;1;868,91;17,37;45,25;8689,1;4,078422;354,38;8334,72;
2025-09-17;3;FO;1;1;763,32;17,41;44,65;7633,2;4,128829;315,16;7318,04;
2025-09-17;3;FO;2;1;829,95;12,41;45,93;8299,5;-1,815276;-150,66;8450,16;
2025-09-17;3;FO;3;1;1035,87;15,76;47,03;10358,7;2,089269;216,42;10142,28;
2025-09-17;3;FO;4;1;1009,34;20,27;49,5;10093,4;7,864041;793,75;9299,65;
2025-09-19;4;FO;1;1;793,50;11,3;43,81;7935;-3,043968;-241,54;8176,54;
2025-09-19;4;FO;2;1;751,50;12,31;44,49;7515;-1,927244;-144,83;7659,83;
2025-09-19;4;FO;3;1;802,00;14,79;43,8;8020;0,927121;74,36;7945,64;
2025-09-19;4;FO;4;1;863,80;13,87;44,19;8638;-0,150935;-13,04;8651,04;
2025-09-19;4;FC;1;1;677,90;14,2;44,69;6779;0,233100;15,80;6763,20;
2025-09-19;4;FC;2;1;835,70;13,49;43,71;8357;-0,589527;-49,27;8406,27;
2025-09-19;4;FC;3;1;758,00;13,13;44,1;7580;-1,001496;-75,91;7655,91;
2025-09-19;4;FC;4;1;808,40;10,55;43,82;8084;-3,856903;-311,79;8395,79;
2025-09-19;4;BE;1;1;721,45;12,32;44,46;7214,5;-1,916058;-138,23;7352,73;
2025-09-19;4;BE;2;1;668,40;13,01;44,31;6684;-1,138062;-76,07;6760,07;
2025-09-19;4;BE;3;1;644,81;12,35;43,5;6448,1;-1,882487;-121,38;6569,48;
2025-09-19;4;BE;4;1;688,60;10,87;43,89;6886;-3,511724;-241,82;7127,82;
2025-09-19;4;FE;1;1;777,45;13,23;43,94;7774,5;-0,887403;-68,99;7843,49;
2025-09-19;4;FE;2;1;858,00;14,66;43,18;8580;0,773377;66,36;8513,64;
2025-09-19;4;FE;3;1;602,30;11,78;44,45;6023;-2,516436;-151,56;6174,56;
2025-09-19;4;FE;4;1;732,38;10,28;44,28;7323,8;-4,146233;-303,66;7627,46;
2025-09-19;5;BE;1;1;918,50;10,54;45,01;9185;-3,867650;-355,24;9540,24;
2025-09-19;5;BE;2;1;1001,50;15,68;44,26;10015;1,992410;199,54;9815,46;
2025-09-19;5;BE;3;1;766,50;12,76;45,38;7665;-1,421366;-108,95;7773,95;
